SKU,Store,Pallet ID,Item ID,UPC,Description,Main Category,Subcategory,Brand,Model,Size,Color,Quantity,Appx. EXT Retail,Appx. Unit Retail,Approx. EXT Wholesale Value,Approx. Unit Wholesale Value,Your Price %,Your EXT Price,Your Unit Price $,% of Load QTY,% of Load $$,Notes

"ARFI-LN-HBA","","","","","Wrinkle Cream","","","","","","","562","0.00","0.00","0.00","0.00","0.00","1405.00","2.50","0.1632","0.163230",""
"ARFI-LN-HBA","","","","","Wrinkle Serum","","","","","","","103","0.00","0.00","0.00","0.00","0.00","257.50","2.50","0.0299","0.029916",""
"ARFI-LN-HBA","","","","","Brightening Cream","","","","","","","416","0.00","0.00","0.00","0.00","0.00","1040.00","2.50","0.1208","0.120825",""
"ARFI-LN-HBA","","","","","Brightening Serum","","","","","","","372","0.00","0.00","0.00","0.00","0.00","930.00","2.50","0.1080","0.108045",""
"ARFI-LN-HBA","","","","","Eye Duo","","","","","","","1031","0.00","0.00","0.00","0.00","0.00","2577.50","2.50","0.2994","0.299448",""
"ARFI-LN-HBA","","","","","Mandelic Scrub","","","","","","","168","0.00","0.00","0.00","0.00","0.00","420.00","2.50","0.0488","0.048795",""
"ARFI-LN-HBA","","","","","Exfoliating Cleansing","","","","","","","475","0.00","0.00","0.00","0.00","0.00","1187.50","2.50","0.1380","0.137961",""
"ARFI-LN-HBA","","","","","Deluxe Firming","","","","","","","160","0.00","0.00","0.00","0.00","0.00","400.00","2.50","0.0465","0.046471",""
"ARFI-LN-HBA","","","","","Clarifying Foam","","","","","","","130","0.00","0.00","0.00","0.00","0.00","325.00","2.50","0.0378","0.037758",""
"ARFI-LN-HBA","","","","","Toner","","","","","","","26","0.00","0.00","0.00","0.00","0.00","65.00","2.50","0.0076","0.007552",""

"CARA-LN-PREM015","","","","95008057088","Essie Salon-Quality Nail Polish 8-free Vegan Coral Burning Love 0.46 Fl Oz","","","Essie","","","","508","5074.92","9.99","0.00","0.00","5.00","253.75","0.50","0.0588","0.055090",""
"CARA-LN-PREM015","","","","95008039534","Essie Expressie Nail Polish","","","Essie","","","","370","4806.30","12.99","0.00","0.00","5.00","240.32","0.65","0.0428","0.052174",""
"CARA-LN-PREM015","","","","95008052700","Essie Nail Polish Expressie 10.0 ML","","","Essie","","","","331","3306.69","9.99","0.00","0.00","5.00","165.33","0.50","0.0383","0.035894",""
"CARA-LN-PREM015","","","","95008055480","Essie Essie Nail Polish, to Diy for, Orange, 13.5ml 13.5 ML ORANGE","","","Essie","","","","329","3286.71","9.99","0.00","0.00","5.00","164.34","0.50","0.0381","0.035679",""
"CARA-LN-PREM015","","","","41554074147","Fit Me Primer","","","Maybelline","Expired","","","286","3715.14","12.99","0.00","0.00","5.00","185.76","0.65","0.0331","0.040329",""
"CARA-LN-PREM015","","","","71249274286","Loreal Color Riche Nail Polish - 716 Decadent Indulgence","","","Loreal","","","","234","2571.66","10.99","0.00","0.00","5.00","128.58","0.55","0.0271","0.027915",""
"CARA-LN-PREM015","","","","71249274361","Loreal Nail Polish - 717 Vintage Vinyl","","","Loreal","","","","226","2483.74","10.99","0.00","0.00","5.00","124.19","0.55","0.0262","0.026962",""
"CARA-LN-PREM015","","","","71249274279","Loreal Paris Extraordinaire Gel Lacque, 715","","","Loreal","","","","221","2428.79","10.99","0.00","0.00","5.00","121.44","0.55","0.0256","0.026365",""
"CARA-LN-PREM015","","","","71249274446","Loreal Extraordinaire Gel-Lacque Gel-Color 0.39 oz","","","Loreal","","","","204","2241.96","10.99","0.00","0.00","5.00","112.10","0.55","0.0236","0.024337",""
"CARA-LN-PREM015","","","","3614227125568","CoverGirl Full Spectrum All Day Idol: Brightening Concealer, Medium Neutral - 0.12 Oz | CVS","","","Covergirl","","","","194","1938.06","9.99","0.00","0.00","5.00","96.90","0.50","0.0224","0.021037",""
"CARA-LN-PREM015","","","","71249274293","Loreal Extraordinaire Gel Nail Lacquer #719 Glossed","","","Loreal","","","","188","2066.12","10.99","0.00","0.00","5.00","103.31","0.55","0.0218","0.022429",""
"CARA-LN-PREM015","","","","71249274378","Loreal Paris Extraordinaire Gel Lacque, 702 Miss Luster","","","Loreal","","","","172","1890.28","10.99","0.00","0.00","5.00","94.51","0.55","0.0199","0.020518",""
