SKU,Store,Pallet ID,Item ID,UPC,Description,Main Category,Subcategory,Brand,Model,Size,Color,Quantity,Appx. EXT Retail,Appx. Unit Retail,Approx. EXT Wholesale Value,Approx. Unit Wholesale Value,Your Price %,Your EXT Price,Your Unit Price $,% of Load QTY,% of Load $$,Notes

"VHD1323615","HD","P10852323","1011184423","151528405","HAH 7.5 FT FOREST PINE T16","","","","24HD24005","","","1","0.00","0.00","113.70","113.70","25.00","28.43","28.43","0.0034","0.004962",""
"VHD1323615","HD","P10837777","1005897617","151528994","6 FT. PRE-LIT LED SLIM NOBILE FIR AR","","","","830-243","","","1","0.00","0.00","33.11","33.11","25.00","8.28","8.28","0.0034","0.001445",""
"VHD1323615","HD","P10837777","1011095907","151527220","HAH 50 FT PRELIT GARLAND","","","","24GU50001","","","1","0.00","0.00","10.58","10.58","25.00","2.65","2.65","0.0034","0.000463",""
"VHD1323615","HD","P10852329","1007124301","151528968","HAH 7.5 FT FESTIVE PINE T10","","","","22HD30005","","","1","0.00","0.00","65.12","65.12","25.00","16.28","16.28","0.0034","0.002842",""
"VHD1323615","HD","P10852324","1013676932","151527304","HAH 7.5FT OXFORD PINE TREE T13","","","","25HD76002","","","1","0.00","0.00","69.29","69.29","25.00","17.32","17.32","0.0034","0.003023",""
"VHD1323615","HD","P10837777","1013692692","151528999","HDC 2PK 3FT GRAND DUCHESS STAKED TRE","","","","25LE31045","","","1","0.00","0.00","30.64","30.64","25.00","7.66","7.66","0.0034","0.001337",""
"VHD1323615","HD","P10852329","1013676932","151528638","HAH 7.5FT OXFORD PINE TREE T13","","","","25HD76002","","","1","0.00","0.00","69.29","69.29","25.00","17.32","17.32","0.0034","0.003023",""
"VHD1323615","HD","P10837777","1007124301","151529058","HAH 7.5 FT FESTIVE PINE T10","","","","22HD30005","","","1","0.00","0.00","65.12","65.12","25.00","16.28","16.28","0.0034","0.002842",""
"VHD1323615","HD","P10852333","1013618111","151535245","HAH 7.5 FT NOSTALGIC NOBLE FIR T18","","","","25WL10047","","","1","0.00","0.00","109.19","109.19","25.00","27.30","27.30","0.0034","0.004765",""
"VHD1323615","HD","P10852333","1013676932","151533907","HAH 7.5FT OXFORD PINE TREE T13","","","","25HD76002","","","1","0.00","0.00","69.29","69.29","25.00","17.32","17.32","0.0034","0.003023",""
"VHD1323615","HD","P10837777","1013692680","151527405","HDC 4FT GRAND DUCHESS POTTED TREE","","","","25LE31027","","","1","0.00","0.00","24.74","24.74","25.00","6.19","6.19","0.0034","0.001080",""
"VHD1323615","HD","P10852328","1011212491","151527378","HDC 7.5 FT GRAND DUCHESS FIR T27","","","","24LE31041","","","1","0.00","0.00","124.81","124.81","25.00","31.20","31.20","0.0034","0.005446",""
"VHD1323615","HD","P10837777","1013692662","151531613","3PK HIGH VIBRANT ORNAMENT LIGHT Y2","","","","25LE11062","","","1","0.00","0.00","12.54","12.54","25.00","3.14","3.14","0.0034","0.000548",""
"VHD1323615","HD","P10852333","1011184423","151533681","HAH 7.5 FT FOREST PINE T16","","","","24HD24005","","","1","0.00","0.00","113.70","113.70","25.00","28.43","28.43","0.0034","0.004962",""
"VHD1323615","HD","P10852331","1007124441","151530195","HAH 6.5 FT FESTIVE PINE T9","","","","22HD30002","","","1","0.00","0.00","44.47","44.47","25.00","11.12","11.12","0.0034","0.001941",""
"VHD1323615","HD","P10852336","1006215461","151535942","HAH 9 FT JACKSON NOBLE FIR T24","","","","21WL10159","","","1","0.00","0.00","218.22","218.22","25.00","54.56","54.56","0.0034","0.009523",""
"VHD1323615","HD","P10852333","1013854053","151534197","HAH 7.5 FT WILLOW CREEK SPRUCE T14","","","","25PG90052","","","1","0.00","0.00","92.05","92.05","25.00","23.01","23.01","0.0034","0.004016",""
"VHD1323615","HD","P10852330","1013676932","151526975","HAH 7.5FT OXFORD PINE TREE T13","","","","25HD76002","","","1","0.00","0.00","69.29","69.29","25.00","17.32","17.32","0.0034","0.003023",""
"VHD1323615","HD","P10852330","1007124301","151530060","HAH 7.5 FT FESTIVE PINE T10","","","","22HD30005","","","1","0.00","0.00","65.12","65.12","25.00","16.28","16.28","0.0034","0.002842",""
"VHD1323615","HD","P10837777","1009464570","151532641","ASSORTED CHARACTER YARD SIGNS","","","","23RZ24945","","","1","0.00","0.00","9.58","9.58","25.00","2.40","2.40","0.0034","0.000419",""
"VHD1323615","HD","P10837777","1013692692","151528238","HDC 2PK 3FT GRAND DUCHESS STAKED TRE","","","","25LE31045","","","1","0.00","0.00","30.64","30.64","25.00","7.66","7.66","0.0034","0.001337",""
"VHD1323615","HD","P10852332","1013692692","151531055","HDC 2PK 3FT GRAND DUCHESS STAKED TRE","","","","25LE31045","","","1","0.00","0.00","30.64","30.64","25.00","7.66","7.66","0.0034","0.001337",""
"VHD1323615","HD","P10852330","1013676932","151530005","HAH 7.5FT OXFORD PINE TREE T13","","","","25HD76002","","","1","0.00","0.00","69.29","69.29","25.00","17.32","17.32","0.0034","0.003023",""
"VHD1323615","HD","P10852323","1003201206","151526262","9 FT ROLLING TREE STORAGE BAG","","","","FFHD1709083A","","","1","0.00","0.00","18.08","18.08","25.00","4.52","4.52","0.0034","0.000789",""
"VHD1323615","HD","P10852334","1009526748","151534738","HAH 6.5 FT FESTIVE PINE FLOCKED T11","","","","23HD40002","","","1","0.00","0.00","48.50","48.50","25.00","12.13","12.13","0.0034","0.002117",""
"VHD1323615","HD","P10837777","1013849961","151526546","2.5 FT LED SANTA WITH TEDDY BEAR","","","","25DK01015","","","1","0.00","0.00","22.75","22.75","25.00","5.69","5.69","0.0034","0.000993",""
"VHD1323615","HD","P10837777","1013692692","151529239","HDC 2PK 3FT GRAND DUCHESS STAKED TRE","","","","25LE31045","","","1","0.00","0.00","30.64","30.64","25.00","7.66","7.66","0.0034","0.001337",""
"VHD1323615","HD","P10837777","1011095907","151530235","HAH 50 FT PRELIT GARLAND","","","","24GU50001","","","1","0.00","0.00","10.58","10.58","25.00","2.65","2.65","0.0034","0.000463",""
"VHD1323615","HD","P10837777","1013692692","151532185","HDC 2PK 3FT GRAND DUCHESS STAKED TRE","","","","25LE31045","","","1","0.00","0.00","30.64","30.64","25.00","7.66","7.66","0.0034","0.001337",""
"VHD1323615","HD","P10837777","843542","151527737","25L MULTI INCAN C9 LIGHTS","","","","C9-25-M","","","1","0.00","0.00","6.31","6.31","25.00","1.58","1.58","0.0034","0.000276",""
"VHD1323615","HD","P10837777","1011095907","151526944","HAH 50 FT PRELIT GARLAND","","","","24GU50001","","","1","0.00","0.00","10.58","10.58","25.00","2.65","2.65","0.0034","0.000463",""
"VHD1323615","HD","P10837777","1011225063","151529249","3PK 12 IN TWINKLING LED STARBURST","","","","24GU10001","","","1","0.00","0.00","10.30","10.30","25.00","2.58","2.58","0.0034","0.000450",""
"VHD1323615","HD","P10852323","1013616852","151528476","HDC 9FT BRECKENRIDGE FLOCKED FIR T31","","","","25HD77010","","","1","0.00","0.00","266.39","266.39","25.00","66.60","66.60","0.0034","0.011625",""
"VHD1323615","HD","P10837777","1007600077","151533280","""9.5\"""" TWINKLING LED SNOWFLAKES 3PK Y5""""""","","","","22LE11012","","","1","0.00","0.00","10.42","10.42","25.00","2.61","2.61","0.0034","0.000456",""
"VHD1323615","HD","P10837777","1013888319","151527019","12 FT LED CONE TREE","","","","25HD30003","","","1","0.00","0.00","96.49","96.49","25.00","24.12","24.12","0.0034","0.004210",""
"VHD1323615","HD","P10852331","1011184424","151532540","HAH 9 FT FOREST PINE T17","","","","24HD24006","","","1","0.00","0.00","179.81","179.81","25.00","44.95","44.95","0.0034","0.007846",""
"VHD1323615","HD","P10852331","1013676932","151532249","HAH 7.5FT OXFORD PINE TREE T13","","","","25HD76002","","","1","0.00","0.00","69.29","69.29","25.00","17.32","17.32","0.0034","0.003023",""
"VHD1323615","HD","P10852330","1013676932","151530832","HAH 7.5FT OXFORD PINE TREE T13","","","","25HD76002","","","1","0.00","0.00","69.29","69.29","25.00","17.32","17.32","0.0034","0.003023",""
"VHD1323615","HD","P10837777","1011095907","151527924","HAH 50 FT PRELIT GARLAND","","","","24GU50001","","","1","0.00","0.00","10.58","10.58","25.00","2.65","2.65","0.0034","0.000463",""
"VHD1323615","HD","P10837777","518751","151532907","HOME DEPOT STORE CHRISTMAS VILLAGE 2","","","","11537259","","","1","0.00","0.00","9.24","9.24","25.00","2.31","2.31","0.0034","0.000403",""
"VHD1323615","HD","P10852336","1005356547","151535961","HAH 7.5FT JACKSON NOBLE FIR SLIM T22","","","","W14N0211","","","1","0.00","0.00","102.23","102.23","25.00","25.56","25.56","0.0034","0.004461",""
"VHD1323615","HD","P10852324","1005356632","151527244","HAH 7.5 FT JACKSON NOBLE FIR T23","","","","W14N0202","","","1","0.00","0.00","162.17","162.17","25.00","40.54","40.54","0.0034","0.007076",""
"VHD1323615","HD","P10852329","1013854058","151527198","HDC 7.5 FT YORKSHIRE FIR T35","","","","25PG90089","","","1","0.00","0.00","223.20","223.20","25.00","55.80","55.80","0.0034","0.009740",""
"VHD1323615","HD","P10852333","1013676932","151535497","HAH 7.5FT OXFORD PINE TREE T13","","","","25HD76002","","","1","0.00","0.00","69.29","69.29","25.00","17.32","17.32","0.0034","0.003023",""
"VHD1323615","HD","P10837777","1006215513","151533605","600L WW LED WEEPING WILLOW ICICLE","","","","21LE21001","","","1","0.00","0.00","13.74","13.74","25.00","3.44","3.44","0.0034","0.000600",""
"VHD1323615","HD","P10852328","1011184422","151528096","HAH 7.5 FT FESTIVE FLOCKED PINE T12","","","","24HD24001","","","1","0.00","0.00","68.82","68.82","25.00","17.21","17.21","0.0034","0.003004",""
"VHD1323615","HD","P10852328","1013854054","151527514","HAH 9 FT WILLOW CREEK SPRUCE T15","","","","25PG90088","","","1","0.00","0.00","131.47","131.47","25.00","32.87","32.87","0.0034","0.005737",""
"VHD1323615","HD","P10852324","1013616854","151527217","HDC 7.5FT BRECKENRIDGE FLOCK FIR T30","","","","25HD77048","","","1","0.00","0.00","210.56","210.56","25.00","52.64","52.64","0.0034","0.009188",""
"VHD1323615","HD","P10852336","1013618111","151535952","HAH 7.5 FT NOSTALGIC NOBLE FIR T18","","","","25WL10047","","","1","0.00","0.00","109.19","109.19","25.00","27.30","27.30","0.0034","0.004765",""
"VHD1323615","HD","P10837777","1007600077","151532762","""9.5"""" TWINKLING LED SNOWFLAKES 3PK Y5""","","","","22LE11012","","","1","0.00","0.00","10.42","10.42","25.00","2.61","2.61","0.0034","0.000456",""
"VHD1323615","HD","P10852319","1007516310","151527778","HDC 9 FT ELEGANT GRAND FIR T33","","","","22WL10099","","","1","0.00","0.00","356.94","356.94","25.00","89.24","89.24","0.0034","0.015577",""
"VHD1323615","HD","P10852334","1006193041","151532049","HDC 9FT GRAND DUCHESS BALSAM FIR T28","","","","21LE31010","","","1","0.00","0.00","188.06","188.06","25.00","47.02","47.02","0.0034","0.008207",""
